Demand,WorkDay,Temperature,Date
186.301853994,0,16.6,2013-11-02
200.563410818,1,23.3,2013-11-03
186.938436556,0,28.9,2013-11-04
206.637651804,1,17.8,2013-11-05
211.98566052,1,23.5,2013-11-06
227.213164292,1,32.8,2013-11-07
205.428282246,0,34.6,2013-11-08
176.059747074,0,19.4,2013-11-09
211.92385876,1,20.2,2013-11-10
215.32009558,1,18.8,2013-11-11
222.263459936,1,24.3,2013-11-12
239.606633534,1,30.6,2013-11-13
223.682012828,1,27.7,2013-11-14
189.563654246,0,18,2013-11-15
182.01313893,0,18.1,2013-11-16
208.354625974,1,20.1,2013-11-17
211.810515936,1,20.9,2013-11-18
217.470160668,1,29.6,2013-11-19
228.777412488,1,28.1,2013-11-20
215.288976858,1,23,2013-11-21
196.059202574,0,30.8,2013-11-22
187.25928332,0,25,2013-11-23
222.551242116,1,19.6,2013-11-24
213.939724822,1,21.8,2013-11-25
218.065623676,1,18.7,2013-11-26
214.940029368,1,19.4,2013-11-27
212.501729262,1,20.5,2013-11-28
193.78475622,0,24.3,2013-11-29
213.238264002,0,34.1,2013-11-30
242.498274678,1,29,2013-12-01
232.734645642,1,26,2013-12-02
228.061684822,1,23.5,2013-12-03
235.996219864,1,26.4,2013-12-04
224.09234761,1,21.2,2013-12-05
192.155474594,0,22.5,2013-12-06
185.843695436,0,17.7,2013-12-07
216.096648906,1,21.2,2013-12-08
217.011085956,1,20.8,2013-12-09
219.859502272,1,21.1,2013-12-10
215.758019682,1,21.4,2013-12-11
219.162764972,1,27.4,2013-12-12
209.452023786,0,31.2,2013-12-13
196.849619224,0,25.9,2013-12-14
228.249638966,1,23.4,2013-12-15
231.096718844,1,32.1,2013-12-16
214.1461543,1,22.3,2013-12-17
216.358081376,1,24,2013-12-18
206.028620072,1,19.9,2013-12-19
189.045337286,0,23,2013-12-20
204.03977797,0,33.3,2013-12-21
230.44480843,1,24.7,2013-12-22
219.498078628,1,26.7,2013-12-23
192.94256159,1,22.2,2013-12-24
166.698403366,0,23.4,2013-12-25
166.856708026,0,20.1,2013-12-26
173.727990102,0,22.2,2013-12-27
188.512817316,0,31.2,2013-12-28
191.273009036,1,26.2,2013-12-29
186.240144172,1,24.4,2013-12-30
186.370181072,1,25.5,2013-12-31
